nodes,pagerank
0,0.017091779726371565
1,0.013082256369809623
2,0.01877708453305044
3,0.022540367053647856
4,0.02262456706963504
5,0.02253522720901747
6,0.019011802868014342
7,0.020272774812569373
8,0.020514717758356348
9,0.030495096892457853
10,0.019551921152731584
11,0.024190100242406833
12,0.014375103975484409
13,0.013118484095695862
14,0.011879361689129361
15,0.02629721561181235
16,0.014503231970969307
17,0.02150484352873477
18,0.027435186169367253
19,0.009348151932495063
20,0.024378525858196633
21,0.029379669664053053
22,0.042302147927567056
23,0.03109106510733563
24,0.023135781476336006
25,0.0408347152193027
26,0.0064547394991172295
27,0.01262397441710507
28,0.020545490283300744
29,0.011793276928866898
30,0.014233782400783004
31,0.019826079797515578
32,0.03856703787292199
33,0.009762572567826255
34,0.015283691402108624
35,0.008869292075477698
36,0.016855839938050145
37,0.02786572309206119
38,0.023989598758964135
39,0.01124930860023476
40,0.02069296707634808
41,0.026025278707816245
42,0.008864325009023491
43,0.017117183379864957
44,0.016702011989289455
45,0.016194079355502794
46,0.021808703154758687
47,0.009737986877658604
48,0.02648328625251804
49,0.01818259064882838
